SMILE,MOLECULE -ID,IC-50
N#C[C@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,CHEMBL461727,2.77
Cc1occc1C(=O)Nc1ccccc1,CHEMBL1862959,3.78
CC(C)=CCCC(C)=CC=O,CHEMBL2297541,4.46
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CC5=CC=CC=C54,PubChem CID-9162,4.63
c1ccsc1,CHEMBL278958,1.53
c1ccc2scnc2c1,CHEMBL510309,2.95
Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1,CHEMBL1641351,4.91
CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CHEMBL135,4.28
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,CHEMBL1873703,4.81
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,CHEMBL429023,4.2
O=C1CCCN1,CHEMBL276849,1.4
Clc1ccc2ccccc2c1,CHEMBL372646,4.08
C=CCCC,CHEMBL295337,2.69
CCC1(c2ccccc2)C(=O)NCNC1=O,CHEMBL856,2.78
CCCCCCCCCCCCCC,CHEMBL135488,5.1
CC(C)Cl,CHEMBL15697,2.44
CCC(C)CO,CHEMBL451923,2.08
N#Cc1ccccc1,CHEMBL15819,2.7
CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,CHEMBL388560,3.38
CCCCCCCCCC(C)O,CHEMBL4633278,4.49
Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1,CHEMBL1641351,4.95
O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2,CHEMBL1522462,3.27
CCOP(=S)(OCC)SCSCC,CHEMBL510014,4.46
CCOc1ccc(NC(C)=O)cc1,CHEMBL16073,3.2
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],CHEMBL1223066,4.44
CCCCCCCO,CHEMBL273459,3.12
Cn1c(=O)c2[nH]cnc2n(C)c1=O,CHEMBL190,2.21
CCCCC1(CC)C(=O)NC(=O)NC1=O,CHEMBL404422,2.78
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,CHEMBL363207,4.86
CCCCCCCC(=O)OC,CHEMBL3183908,3.59
CCc1ccc(CC)cc1,CHEMBL3187283,3.78
CCOP(=S)(OCC)SCSC(C)(C)C,CHEMBL1406292,4.58
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,CHEMBL1079421,3.51
C=C(Cl)Cl,CHEMBL156455,2.66
Cc1cccc2c1Cc1ccccc1-2,CHEMBL1797283,4.44
CCCCC=O,CHEMBL18602,2.98
c1ccc(Nc2ccccc2)cc1,CHEMBL38688,4
CN(C)C(=O)SCCCCOc1ccccc1,CHEMBL388559,3.67
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,Chemspider ID-29888,3.18
CCCCCCCI,CHEMBL156095,4.5
Clc1cccc(-c2ccccc2)c1,PubChem CID-249266,3.92
C=CCCCO,PubChem CID-13181,1.72
O=C1NC(=O)NC(=O)C12CCC2,,1.67
CC1CCC(C(C)C)C(O)C1,CHEMBL256087,3.35
CC(C)OC=O,CHEMBL3184082,1.65
CCCCCC(C)O,CHEMBL449522,2.51
CC(=O)Nc1ccc(Br)cc1,CHEMBL59019,3.6
Nc1cnn(-c2ccccc2)c(=O)c1Br,PubchemID-76441,3.25
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],CHEMBL193,3.93
Cc1ccc2ccc(C)nc2c1,CHEMBL194876,3.66
C#CCCCCCC,PubChem ID-12370,3.69
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CHEMBL268164,2.92
c1ccc2c(c1)ccc1c3ccccc3ccc21,CHEMBL85685,4.58
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,CHEMBL1877125,3.25
Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,PubChem CID-63089,5.25
Cc1ccccc1O,CHEMBL46931,2.76
CC(C)CCC(C)(C)C,PubChemCID-19041,3.93
Cc1ccc(C)c2ccccc12,CHEMBL362076,4.31
Cc1cc2c3ccccc3ccc2c2ccccc12,CHEMBL1797292,4.47
CCCC(C)=O,CHEMBL45345,1.75
Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl,CHEMBL14042,5.5
